iter	Passed	Remaining
0	62	31419
1	67	16850
2	71	11824
3	75	9373
4	79	7903
5	83	6908
6	87	6140
7	91	5621
8	94	5159
9	97	4790
10	100	4485
11	104	4229
12	108	4049
13	111	3869
14	115	3724
15	118	3599
16	123	3505
17	128	3440
18	133	3373
19	137	3309
20	142	3246
21	146	3186
22	150	3122
23	154	3059
24	158	3016
25	162	2958
26	165	2903
27	169	2849
28	173	2811
29	176	2763
30	179	2719
31	183	2677
32	186	2638
33	190	2608
34	193	2573
35	196	2537
36	200	2503
37	203	2472
38	207	2457
39	211	2432
40	215	2413
41	219	2390
42	223	2379
43	227	2362
44	233	2357
45	237	2342
46	241	2328
47	245	2309
48	248	2290
49	252	2271
50	256	2258
51	259	2238
52	262	2217
53	266	2197
54	269	2182
55	273	2166
56	276	2148
57	279	2130
58	282	2113
59	286	2101
60	289	2087
61	293	2070
62	296	2055
63	299	2039
64	303	2033
65	307	2024
66	311	2013
67	315	2002
68	319	1995
69	323	1987
70	329	1992
71	334	1987
72	339	1985
73	344	1981
74	348	1976
75	354	1977
76	358	1967
77	362	1959
78	365	1949
79	371	1950
80	375	1944
81	379	1932
82	383	1926
83	387	1920
84	391	1909
85	394	1898
86	397	1888
87	402	1884
88	406	1878
89	410	1870
90	414	1865
91	419	1861
92	423	1855
93	427	1847
94	431	1839
95	436	1835
96	440	1828
97	444	1822
98	448	1814
99	452	1810
100	456	1803
101	460	1794
102	463	1785
103	467	1780
104	471	1774
105	475	1766
106	478	1759
107	483	1753
108	487	1747
109	491	1742
110	494	1734
111	499	1728
112	503	1724
113	507	1717
114	510	1710
115	514	1702
116	518	1697
117	521	1689
118	525	1681
119	528	1674
120	532	1667
121	535	1660
122	539	1654
123	544	1649
124	547	1643
125	552	1639
126	555	1632
127	559	1626
128	563	1620
129	568	1616
130	571	1610
131	575	1604
132	578	1597
133	583	1592
134	587	1587
135	590	1580
136	593	1572
137	596	1565
138	600	1560
139	603	1553
140	607	1546
141	610	1539
142	614	1532
143	617	1527
144	620	1520
145	624	1513
146	627	1506
147	630	1500
148	634	1494
149	638	1488
150	641	1483
151	645	1477
152	650	1475
153	654	1470
154	658	1464
155	661	1459
156	666	1455
157	670	1450
158	673	1444
159	677	1439
160	681	1434
161	685	1429
162	688	1422
163	691	1416
164	694	1410
165	698	1405
166	702	1399
167	705	1393
168	708	1387
169	711	1381
170	715	1376
171	718	1370
172	721	1364
173	725	1358
174	728	1353
175	732	1348
176	736	1343
177	739	1338
178	743	1333
179	747	1329
180	751	1323
181	754	1318
182	758	1313
183	762	1309
184	766	1305
185	770	1300
186	773	1295
187	777	1290
188	781	1285
189	784	1280
190	787	1274
191	790	1268
192	794	1263
193	797	1258
194	801	1253
195	804	1247
196	807	1242
197	811	1237
198	814	1232
199	818	1227
200	821	1221
201	824	1216
202	828	1212
203	832	1208
204	836	1203
205	839	1198
206	843	1194
207	847	1190
208	852	1187
209	856	1182
210	860	1178
211	864	1174
212	868	1169
213	871	1165
214	875	1160
215	879	1156
216	882	1150
217	885	1145
218	888	1140
219	892	1135
220	895	1130
221	899	1126
222	903	1121
223	906	1117
224	910	1113
225	914	1108
226	917	1103
227	922	1100
228	926	1096
229	930	1092
230	934	1087
231	937	1083
232	941	1078
233	945	1075
234	949	1070
235	953	1066
236	957	1061
237	960	1057
238	964	1053
239	968	1048
240	971	1044
241	975	1039
242	978	1035
243	982	1030
244	985	1025
245	988	1020
246	992	1016
247	995	1011
248	998	1006
249	1001	1001
250	1005	997
251	1009	993
252	1013	989
253	1016	984
254	1020	980
255	1026	978
256	1030	973
257	1033	969
258	1037	965
259	1041	961
260	1045	957
261	1048	952
262	1052	948
263	1056	944
264	1060	940
265	1065	937
266	1068	932
267	1071	927
268	1075	923
