model,train_horizon,eval_horizon,n_samples,bankruptcy_rate,roc_auc,pr_auc,brier,recall_1pct_fpr,recall_5pct_fpr
Random Forest,1,1,7027,0.03856553294435748,1.0,1.0,0.0072625716335201155,1.0,1.0
Random Forest,1,2,10173,0.03931976801336872,0.8968937378491764,0.4694295068833183,0.0328209441288904,0.3625,0.5325
Random Forest,1,3,10503,0.04712939160239932,0.8996269650945911,0.5133936415056423,0.03468393500034113,0.3575757575757576,0.5656565656565656
Random Forest,2,1,7027,0.03856553294435748,0.9503904142060958,0.7279046623739227,0.021399235006417695,0.6457564575645757,0.7712177121771218
Random Forest,2,2,10173,0.03931976801336872,0.9999690473754221,0.9991838400807103,0.008446244643912313,1.0,1.0
Random Forest,2,3,10503,0.04712939160239932,0.9159848888565915,0.5768774853790911,0.03188538983192859,0.46060606060606063,0.6262626262626263
Random Forest,3,1,7027,0.03856553294435748,0.9372573565877753,0.6498404224118048,0.025994153394172274,0.5055350553505535,0.7527675276752768
Random Forest,3,2,10173,0.03931976801336872,0.895250818581807,0.456160269879616,0.03627970528441904,0.3325,0.55
Random Forest,3,3,10503,0.04712939160239932,0.9998976576314706,0.9976274273492307,0.011245450304624182,1.0,1.0
Logistic Regression,1,1,7027,0.03856553294435748,0.9223011279846368,0.3249302594540775,0.11023105679380057,0.13653136531365315,0.6236162361623616
Logistic Regression,1,2,10173,0.03931976801336872,0.8074012585695283,0.12713472850939725,0.21321915204161013,0.04,0.2025
Logistic Regression,1,3,10503,0.04712939160239932,0.8135909454254777,0.15691873435737272,0.17538802566716533,0.03232323232323232,0.22626262626262628
Logistic Regression,2,1,7027,0.03856553294435748,0.8908080066591074,0.27829138130093733,0.12698923814957197,0.11808118081180811,0.5608856088560885
Logistic Regression,2,2,10173,0.03931976801336872,0.838567737644531,0.16553247837072474,0.1620594480072749,0.07,0.345
Logistic Regression,2,3,10503,0.04712939160239932,0.8292349958417105,0.18845334788469156,0.15042769585540228,0.06262626262626263,0.32323232323232326
Logistic Regression,3,1,7027,0.03856553294435748,0.8734835128102614,0.22865640330142223,0.17547154504690793,0.1070110701107011,0.5018450184501845
Logistic Regression,3,2,10173,0.03931976801336872,0.7937148265629798,0.12140556789693986,0.2299001054174822,0.035,0.2175
Logistic Regression,3,3,10503,0.04712939160239932,0.8667835428626796,0.24231197430301643,0.14569212822275227,0.09696969696969697,0.4121212121212121
