model,train_horizon,eval_horizon,horizon_gap,roc_auc_baseline,roc_auc_transfer,roc_auc_drop,pr_auc_baseline,pr_auc_transfer,pr_auc_drop,roc_auc_drop_pct,pr_auc_drop_pct
Random Forest,1,2,1,1.0,0.8968937378491764,0.10310626215082364,1.0,0.4694295068833183,0.5305704931166817,10.310626215082364,53.057049311668166
Random Forest,1,3,2,1.0,0.8996269650945911,0.10037303490540894,1.0,0.5133936415056423,0.48660635849435774,10.037303490540895,48.66063584943577
Random Forest,2,1,1,0.9999690473754221,0.9503904142060958,0.049578633169326314,0.9991838400807103,0.7279046623739227,0.27127917770678756,4.958016780564691,27.150076574984904
Random Forest,2,3,1,0.9999690473754221,0.9159848888565915,0.08398415851883068,0.9991838400807103,0.5768774853790911,0.42230635470161915,8.398675812942455,42.265130575721365
Random Forest,3,1,2,0.9998976576314706,0.9372573565877753,0.06264030104369533,0.9976274273492307,0.6498404224118048,0.34778700493742587,6.264671245662873,34.86141172577036
Random Forest,3,2,1,0.9998976576314706,0.895250818581807,0.10464683904966365,0.9976274273492307,0.456160269879616,0.5414671574696147,10.465754995121014,54.27548828607617
Logistic Regression,1,2,1,0.9223011279846368,0.8074012585695283,0.11489986941510855,0.3249302594540775,0.12713472850939725,0.19779553094468025,12.457956076252623,60.87322592761932
Logistic Regression,1,3,2,0.9223011279846368,0.8135909454254777,0.1087101825591591,0.3249302594540775,0.15691873435737272,0.16801152509670478,11.786842633132933,51.706949478631095
Logistic Regression,2,1,1,0.838567737644531,0.8908080066591074,-0.05224026901457646,0.16553247837072474,0.27829138130093733,-0.1127589029302126,-6.2297017485212525,-68.11889971083438
Logistic Regression,2,3,1,0.838567737644531,0.8292349958417105,0.00933274180282051,0.16553247837072474,0.18845334788469156,-0.022920869513966824,1.112938333286638,-13.846750643480062
Logistic Regression,3,1,2,0.8667835428626796,0.8734835128102614,-0.006699969947581819,0.24231197430301643,0.22865640330142223,0.013655571001594202,-0.7729692150654115,5.635532887251214
Logistic Regression,3,2,1,0.8667835428626796,0.7937148265629798,0.0730687162996998,0.24231197430301643,0.12140556789693986,0.12090640640607657,8.429868898800231,49.89700024270384
