model_name,horizon,roc_auc,pr_auc,recall_1pct_fpr,recall_5pct_fpr,brier_score,timestamp
Logistic Regression,1,0.87,0.58,0.5,0.72,0.045,2025-10-27T09:00:14.622377
Random Forest,1,0.9,0.65,0.574,0.8,0.038,2025-10-27T09:00:14.622392
Logistic Regression,1,0.87,0.58,0.5,0.72,0.045,2025-10-27T09:02:30.748541
Random Forest,1,0.9,0.65,0.574,0.8,0.038,2025-10-27T09:02:30.748556
Logistic Regression,1,0.9242822704361168,0.3856160113907364,0.2777777777777778,0.6666666666666666,0.1061447783302576,2025-10-27T10:05:42.673272
Random Forest,1,0.9606892395353934,0.751353650351945,0.6111111111111112,0.7962962962962963,0.0198571422699289,2025-10-27T10:05:42.673293
CatBoost,1,0.9811664475126014,0.8476588738351236,0.7777777777777778,0.8518518518518519,0.0136043229761179,2025-11-05T11:06:23.512225
CatBoost,1,0.9811664475126014,0.8476588738351236,0.7777777777777778,0.8518518518518519,0.0136043229761179,2025-11-05T11:12:39.948344
XGBoost,1,0.981029476221784,0.8338803184282548,0.7407407407407407,0.8518518518518519,0.01263347076947,2025-11-05T11:14:34.813824
LightGBM,1,0.9781941705018627,0.8321504564393846,0.7407407407407407,0.8333333333333334,0.0124713873702606,2025-11-05T11:14:34.813841
CatBoost,1,0.9811664475126014,0.8476588738351236,0.7777777777777778,0.8518518518518519,0.0136043229761179,2025-11-05T11:14:34.813846
Logistic Regression,1,0.9242822704361168,0.3856160113907364,0.2777777777777778,0.6666666666666666,0.1061447783302576,2025-11-06T21:20:40.860877
Random Forest,1,0.9606892395353934,0.751353650351945,0.6111111111111112,0.7962962962962963,0.0198571422699289,2025-11-06T21:20:40.860899
Logistic Regression,1,0.9242822704361168,0.3856160113907364,0.2777777777777778,0.6666666666666666,0.1061447783302576,2025-11-08T08:23:43.556653
Random Forest,1,0.9606892395353934,0.751353650351945,0.6111111111111112,0.7962962962962963,0.0198571422699289,2025-11-08T08:23:43.556675
XGBoost,1,0.981029476221784,0.8338803184282548,0.7407407407407407,0.8518518518518519,0.01263347076947,2025-11-08T08:30:35.836287
LightGBM,1,0.9781941705018627,0.8321504564393846,0.7407407407407407,0.8333333333333334,0.0124713873702606,2025-11-08T08:30:35.836302
CatBoost,1,0.9811664475126014,0.8476588738351236,0.7777777777777778,0.8518518518518519,0.0136043229761179,2025-11-08T08:30:35.836306
Logistic Regression,1,0.9242822704361168,0.3856160113907364,0.2777777777777778,0.6666666666666666,0.1061447783302576,2025-11-12T19:15:21.155708
Random Forest,1,0.9606892395353934,0.751353650351945,0.6111111111111112,0.7962962962962963,0.0198571422699289,2025-11-12T19:15:21.155729
XGBoost,1,0.981029476221784,0.8338803184282548,0.7407407407407407,0.8518518518518519,0.01263347076947,2025-11-12T19:15:33.375495
LightGBM,1,0.9781941705018627,0.8321504564393846,0.7407407407407407,0.8333333333333334,0.0124713873702606,2025-11-12T19:15:33.375511
CatBoost,1,0.9811664475126014,0.8476588738351236,0.7777777777777778,0.8518518518518519,0.0136043229761179,2025-11-12T19:15:33.375516
Logistic Regression,1,0.9242822704361168,0.3856160113907364,0.2777777777777778,0.6666666666666666,0.1061447783302576,2025-11-12T23:33:54.260299
Random Forest,1,0.9606892395353934,0.751353650351945,0.6111111111111112,0.7962962962962963,0.0198571422699289,2025-11-12T23:33:54.260315
XGBoost,1,0.9810294762217839,0.8338803184282548,0.7407407407407407,0.8518518518518519,0.012633470769470035,2025-11-12T23:33:59.716884
LightGBM,1,0.9781941705018629,0.8321504564393846,0.7407407407407407,0.8333333333333334,0.012471387370260614,2025-11-12T23:33:59.716897
CatBoost,1,0.9811664475126014,0.8476588738351236,0.7777777777777778,0.8518518518518519,0.013604322976117994,2025-11-12T23:33:59.716900
