feature,vif_before,vif_after,difference
X9,inf,inf,
X16,inf,inf,
X18,307.74791942098994,307.74791942098994,0.0
X4,103.05297391521347,103.05297391521347,0.0
X2,54.55664060941428,54.55664060941428,0.0
X17,53.63625208769536,53.63625208769536,0.0
X12,53.04703800264494,53.04703800264494,0.0
X10,42.292833267525836,42.292833267525836,0.0
X13,23.47687655411654,23.47687655411654,0.0
X14,20.96287248005591,20.96287248005591,0.0
X1,19.728032167104317,19.728032167104317,0.0
X11,13.681241126681579,13.681241126681579,0.0
X3,12.316582491638739,12.316582491638739,0.0
X8,8.204341136312845,8.204341136312845,0.0
X7,8.194171554360846,8.194171554360846,0.0
X6,7.49963932022955,7.49963932022955,0.0
X5,4.545976200512536,4.545976200512536,0.0
X15,3.415383844510929,3.415383844510929,0.0
