model_name,roc_auc,pr_auc,brier_score,recall_1pct_fpr,recall_5pct_fpr,horizon,timestamp,dataset
Logistic Regression,0.9242822704361168,0.3856160113907364,0.1061447783302576,0.2777777777777778,0.6666666666666666,1.0,2025-11-08T08:23:43.556653,Polish
Random Forest,0.9606892395353934,0.751353650351945,0.0198571422699289,0.6111111111111112,0.7962962962962963,1.0,2025-11-08T08:23:43.556675,Polish
XGBoost,0.981029476221784,0.8338803184282548,0.01263347076947,0.7407407407407407,0.8518518518518519,1.0,2025-11-08T08:30:35.836287,Polish
LightGBM,0.9781941705018627,0.8321504564393846,0.0124713873702606,0.7407407407407407,0.8333333333333334,1.0,2025-11-08T08:30:35.836302,Polish
CatBoost,0.9811664475126014,0.8476588738351236,0.0136043229761179,0.7777777777777778,0.8518518518518519,1.0,2025-11-08T08:30:35.836306,Polish
Logistic Regression,0.8229166666666666,0.2646562146146051,0.1445060155963976,0.2083333333333333,0.5416666666666666,,,American
Random Forest,0.8667074022346368,0.4599481100814032,0.0276880829240223,0.3333333333333333,0.5,,,American
CatBoost,0.8517807262569832,0.4228811054500009,0.0316219769838911,0.3333333333333333,0.5,,,American
Logistic Regression,0.9230371900826446,0.334775533062626,0.0929349866475273,0.2045454545454545,0.6136363636363636,,,Taiwan
Random Forest,0.9460055096418734,0.4982266517111852,0.0297721049094577,0.3409090909090909,0.7272727272727273,,,Taiwan
CatBoost,0.9429924242424242,0.444058469539564,0.0307420648602877,0.2727272727272727,0.7045454545454546,,,Taiwan
