Feature,VIF
A7,inf
A18,inf
A14,inf
A43,3191778616137.843
A44,3019510310003.685
A20,2561519545.762223
A19,43024229.75646098
A13,42462067.00128816
A49,11411141.218254602
A42,10950307.251555385
A10,181667.70328514508
A38,154212.84792613538
A23,148301.80018022633
A53,56701.93302232768
A54,56197.49046513382
A39,35439.45064884189
A11,22072.898990869042
A31,15983.683543739024
A36,9300.299982325592
A9,9160.70130586044
A62,6216.12479502808
A56,4717.138978667155
A58,4041.2142542775314
A30,3075.301338441389
A25,1356.1667175230311
A22,1094.8175716183277
A17,631.5910922556624
A8,409.747257136588
A46,402.46128693682084
A26,378.9869195111604
A4,342.73832909120773
A24,254.63005238648503
A16,250.97361755287272
A63,217.86858448799134
A33,168.55035056250375
A52,119.08049719080539
A40,117.53565758953373
A32,117.32306005098579
A1,102.26289921502857
A35,82.60144305347148
A12,71.43912827147179
A2,71.15774497634567
A64,57.93402294983228
A48,55.036242855638314
A6,39.7440741258828
A50,21.366353372362813
A51,15.873054998322242
A61,12.480117317624575
A34,11.827583580038896
A3,7.572188612425267
A47,6.392580812070052
A45,1.482140410899468
A29,1.4130270346898133
A60,1.4043869456865217
A5,1.2960257554041577
A28,1.1052191341127435
A55,1.089241812840458
A59,1.0734243389857037
A57,1.0685185185189578
A27,1.014948274109698
A21,1.0085070055352572
A15,1.005054207472201
A41,1.003715630783315
A37,1.0034154785640699
