feature,importance,category
X4_t,0.06939601846306596,Current (t)
X1_t1,0.05666363715070097,Lag-1 (t-1)
X4_delta1,0.05611977167346884,Delta (Change)
X1_t,0.05219421477047196,Current (t)
X1_t2,0.050690878511450994,Lag-2 (t-2)
X3_t,0.0490089488922582,Current (t)
X4_t1,0.04709226738012843,Lag-1 (t-1)
X3_t1,0.04177672617723388,Lag-1 (t-1)
X3_t2,0.04160025219181406,Lag-2 (t-2)
X4_t2,0.04136329391412375,Lag-2 (t-2)
X4_delta2,0.041228413434371655,Delta (Change)
X2_t2,0.039584468858002625,Lag-2 (t-2)
X3_delta1,0.03903051947763952,Delta (Change)
X2_t,0.03685189242983974,Current (t)
X3_delta2,0.03629517854297403,Delta (Change)
X2_t1,0.03562512146617652,Lag-1 (t-1)
X5_t,0.035391575697109885,Current (t)
X1_delta1,0.035140883053982996,Delta (Change)
X2_delta1,0.03375292748329043,Delta (Change)
X5_t1,0.03144144932915722,Lag-1 (t-1)
X5_t2,0.02917104106196689,Lag-2 (t-2)
X2_delta2,0.02831301537212745,Delta (Change)
X1_delta2,0.025412271423949633,Delta (Change)
X5_delta1,0.024317393860308727,Delta (Change)
X5_delta2,0.022537839384385732,Delta (Change)
granger_causal_count,0.0,Current (t)
