feature_1,feature_2,correlation
Net Sales,Total Revenue,1.0
Total Revenue,Operating Expenses,0.9899242981305922
Net Sales,Operating Expenses,0.9899242981305922
Total Assets,Total Liabilities,0.9781320655610417
Cost of Goods Sold,Operating Expenses,0.9774690739250602
EBITDA,EBIT,0.9766008271588565
Cost of Goods Sold,Net Sales,0.9578327462406527
Cost of Goods Sold,Total Revenue,0.9578327462406527
EBITDA,Gross Profit,0.9491990932785789
Long-term Debt,Total Liabilities,0.947434244320197
EBITDA,Total Assets,0.9422253128044475
EBIT,Gross Profit,0.9349072841947234
EBITDA,Total Liabilities,0.9265621399339945
Current Assets,Current Liabilities,0.9264920786667241
Current Assets,Total Receivables,0.9228887175352162
Current Assets,Net Sales,0.9211803933953273
Current Assets,Total Revenue,0.9211803933953273
Total Assets,Long-term Debt,0.9202998455043303
Current Liabilities,Total Liabilities,0.9179900283527347
Depreciation & Amortization,Total Assets,0.9116833793807504
Market Value,EBIT,0.9077730854816062
Total Assets,Current Liabilities,0.9074026772769157
Net Income,EBIT,0.9069008381314881
Net Sales,Current Liabilities,0.9061112282953997
Current Liabilities,Total Revenue,0.9061112282953997
Gross Profit,Total Revenue,0.9037082504405962
Net Sales,Gross Profit,0.9037082504405961
Current Assets,Gross Profit,0.901323593377815
Depreciation & Amortization,EBITDA,0.9012750314757738
Total Assets,EBIT,0.9004920505511615
Market Value,Gross Profit,0.9003584700564686
Current Assets,Operating Expenses,0.8971694031668116
Total Assets,Gross Profit,0.8951868247934258
EBITDA,Market Value,0.8945788290317082
Depreciation & Amortization,Total Liabilities,0.8912472546955373
Total Receivables,Current Liabilities,0.8873529635859593
EBIT,Total Liabilities,0.8866301135874228
Gross Profit,Current Liabilities,0.8864809862202295
Total Receivables,Total Revenue,0.881553901289675
Total Receivables,Net Sales,0.881553901289675
Current Liabilities,Operating Expenses,0.8806491258837463
EBITDA,Long-term Debt,0.8798138034781359
EBITDA,Total Revenue,0.8793272724448429
EBITDA,Net Sales,0.8793272724448429
Gross Profit,Total Liabilities,0.8792187490105043
EBITDA,Current Liabilities,0.8764155074508482
EBIT,Total Revenue,0.8751095017418095
Net Sales,EBIT,0.8751095017418095
Current Assets,EBIT,0.8717640661455568
Depreciation & Amortization,Long-term Debt,0.8717497376511024
