iter	Passed	Remaining
0	5	2894
1	9	2484
2	12	2017
3	14	1779
4	16	1674
5	19	1574
6	21	1498
7	23	1442
8	25	1398
9	27	1365
10	30	1334
11	32	1309
12	34	1296
13	36	1280
14	39	1262
15	41	1245
16	43	1231
17	45	1218
18	47	1207
19	49	1199
20	52	1192
21	54	1183
22	56	1173
23	58	1164
24	64	1220
25	69	1261
26	71	1250
27	73	1240
28	75	1230
29	77	1220
30	81	1239
31	84	1230
32	86	1221
33	88	1212
34	90	1204
35	92	1195
36	94	1188
37	97	1180
38	99	1173
39	101	1166
40	105	1176
41	107	1170
42	109	1163
43	111	1157
44	113	1150
45	117	1160
46	125	1208
47	131	1235
48	133	1227
49	139	1259
50	143	1261
51	145	1253
52	148	1255
53	152	1257
54	155	1260
55	158	1252
56	161	1256
57	166	1265
58	170	1271
59	175	1289
60	180	1299
61	182	1290
62	186	1294
63	191	1303
64	194	1304
65	199	1308
66	202	1307
67	207	1315
68	212	1325
69	216	1328
70	220	1333
71	225	1341
72	229	1340
73	232	1338
74	235	1336
75	241	1349
76	245	1350
77	247	1341
78	253	1353
79	259	1359
80	261	1351
81	266	1357
82	270	1360
83	276	1369
84	281	1372
85	285	1375
86	291	1384
87	296	1390
88	298	1380
89	303	1381
90	305	1372
91	309	1371
92	312	1369
93	316	1368
94	321	1372
95	325	1369
96	327	1362
97	330	1354
98	335	1359
99	340	1361
100	344	1362
101	349	1364
102	355	1370
103	358	1365
104	360	1356
105	363	1351
106	367	1350
107	369	1341
108	371	1332
109	374	1327
110	376	1318
111	378	1310
112	382	1309
113	387	1312
114	392	1313
115	395	1309
116	402	1316
117	405	1313
118	409	1310
119	413	1310
120	416	1303
121	419	1301
122	422	1293
123	426	1293
124	431	1293
125	433	1286
126	438	1286
127	441	1284
128	446	1283
129	451	1285
130	455	1284
131	457	1275
132	461	1273
133	466	1274
134	469	1268
135	473	1268
136	477	1266
137	481	1264
138	484	1257
139	488	1256
140	492	1253
141	494	1246
142	498	1243
143	502	1241
144	506	1240
145	511	1241
146	515	1237
147	518	1234
148	522	1231
149	526	1227
150	530	1225
151	533	1222
152	537	1218
153	539	1211
154	545	1214
155	547	1207
156	552	1206
157	556	1203
158	559	1200
159	561	1193
160	564	1189
161	569	1188
162	575	1190
163	577	1184
164	584	1186
165	590	1187
166	596	1188
167	601	1188
168	605	1186
169	612	1189
170	616	1186
171	618	1179
172	622	1175
173	624	1169
174	627	1165
175	630	1160
176	634	1157
177	637	1154
178	640	1148
179	644	1145
180	648	1142
181	651	1139
182	657	1139
183	661	1135
184	666	1135
185	671	1133
186	675	1131
187	677	1125
188	679	1118
189	683	1115
190	689	1115
191	694	1113
192	697	1109
193	700	1105
194	703	1099
195	707	1097
196	710	1093
197	712	1087
198	714	1080
199	716	1075
200	719	1070
201	726	1071
202	728	1065
203	732	1062
204	736	1060
205	738	1054
206	743	1052
207	746	1048
208	748	1042
209	753	1040
210	771	1057
211	774	1051
212	777	1047
213	781	1044
214	784	1039
215	786	1033
216	793	1034
217	795	1029
218	797	1023
219	802	1021
220	807	1019
221	809	1013
222	811	1007
223	812	1001
224	815	996
225	819	993
226	821	987
227	825	985
228	830	982
229	835	981
230	838	976
231	840	971
232	842	965
233	844	960
234	846	955
235	850	951
236	858	952
237	860	947
238	864	943
239	869	942
240	873	938
241	876	934
242	878	929
243	881	924
244	886	922
245	891	920
246	896	918
247	900	915
248	904	911
249	908	908
250	910	903
251	912	898
252	915	893
253	917	888
254	920	884
255	922	879
256	924	874
257	929	871
258	933	868
259	936	864
260	940	861
261	942	856
262	944	851
263	946	846
264	949	841
265	951	836
266	954	833
267	959	830
268	966	829
269	968	824
270	971	821
271	982	823
272	986	820
273	990	816
274	998	816
275	1003	814
276	1007	811
277	1017	812
278	1020	808
279	1022	803
280	1025	799
281	1031	797
282	1034	793
283	1036	788
284	1038	783
285	1042	780
286	1046	776
287	1051	773
288	1054	769
289	1060	768
290	1065	765
291	1069	761
292	1073	758
293	1076	754
294	1080	751
295	1082	746
296	1087	743
297	1093	740
298	1095	736
299	1098	732
300	1100	727
301	1104	724
302	1109	721
303	1116	719
304	1119	715
305	1123	712
306	1126	708
307	1128	703
308	1131	699
309	1137	697
310	1141	693
311	1143	689
312	1147	685
313	1153	683
314	1158	680
315	1161	676
316	1165	672
317	1169	669
318	1172	665
319	1176	661
320	1180	658
321	1182	653
322	1187	650
323	1192	647
324	1195	643
325	1200	640
326	1204	637
327	1206	632
328	1210	629
329	1214	625
330	1219	622
331	1224	619
332	1228	616
333	1230	611
334	1235	608
335	1238	604
336	1242	601
337	1248	598
338	1255	596
339	1260	593
340	1264	589
341	1266	585
342	1268	580
343	1275	578
344	1282	576
345	1284	571
346	1286	567
347	1288	562
348	1292	559
349	1294	554
350	1296	550
351	1300	546
352	1304	543
353	1311	540
354	1316	537
355	1319	533
356	1325	530
357	1328	526
358	1330	522
359	1333	518
360	1338	515
361	1340	511
362	1343	507
363	1349	504
364	1351	499
365	1353	495
366	1358	492
367	1361	488
368	1363	483
369	1367	480
370	1374	478
371	1378	474
372	1381	470
373	1387	467
374	1389	463
375	1392	459
376	1394	455
377	1398	451
378	1401	447
379	1405	443
380	1409	440
381	1411	436
382	1413	431
383	1418	428
384	1423	425
385	1427	421
386	1429	417
387	1434	414
388	1439	410
389	1442	406
390	1444	402
391	1446	398
392	1452	395
393	1457	392
394	1460	388
395	1464	384
396	1469	381
397	1474	377
398	1476	373
399	1480	370
400	1486	366
401	1488	362
402	1492	359
403	1497	355
404	1501	352
405	1503	348
406	1506	344
407	1508	340
408	1512	336
409	1517	333
410	1522	329
411	1524	325
412	1528	321
413	1534	318
414	1537	314
415	1539	310
416	1543	307
417	1547	303
418	1553	300
419	1557	296
420	1562	293
421	1567	289
422	1571	286
423	1575	282
424	1582	279
425	1584	275
426	1588	271
427	1592	267
428	1596	264
429	1600	260
430	1606	257
431	1608	253
432	1610	249
433	1613	245
434	1616	241
435	1620	237
436	1624	234
437	1627	230
438	1629	226
439	1632	222
440	1637	219
441	1641	215
442	1643	211
443	1646	207
444	1650	204
445	1656	200
446	1658	196
447	1661	192
448	1665	189
449	1667	185
450	1669	181
451	1674	177
452	1677	174
453	1681	170
454	1684	166
455	1686	162
456	1691	159
457	1697	155
458	1701	151
459	1703	148
460	1708	144
461	1710	140
462	1712	136
463	1714	133
464	1719	129
465	1721	125
466	1725	121
467	1727	118
468	1731	114
469	1733	110
470	1739	107
471	1743	103
472	1745	99
473	1750	96
474	1756	92
475	1761	88
476	1767	85
477	1770	81
478	1774	77
479	1776	74
480	1778	70
481	1782	66
482	1786	62
483	1791	59
484	1795	55
485	1800	51
486	1804	48
487	1807	44
488	1812	40
489	1817	37
490	1822	33
491	1824	29
492	1828	25
493	1834	22
494	1838	18
495	1841	14
496	1844	11
497	1847	7
498	1851	3
499	1855	0
