Feature_Code,Readable_Name,Full_Name,Short_Name,Category,Formula,Interpretation
A1,net_profit_assets,Net Profit / Total Assets,Net Profit / Assets,Profitability,net profit / total assets,Return on Assets (ROA). Higher values indicate better profitability.
A2,liabilities_assets,Total Liabilities / Total Assets,Liabilities / Assets,Leverage,total liabilities / total assets,Debt ratio. Higher values indicate higher financial leverage and risk.
A3,working_capital_assets,Working Capital / Total Assets,Working Capital / Assets,Liquidity,working capital / total assets,Proportion of assets in liquid form. Higher is better for short-term obligations.
A4,current_ratio,Current Assets / Short-term Liabilities,Current Ratio,Liquidity,current assets / short-term liabilities,Current ratio. Values > 1 indicate ability to cover short-term debts.
A5,cash_cycle_days,[(Cash + Short-term Securities + Receivables - Short-term Liabilities) / (Operating Expenses - Depreciation)] * 365,Cash Cycle (days),Liquidity,[(cash + short-term securities + receivables - short-term liabilities) / (operating expenses - depreciation)] * 365,Days of cash coverage. Negative values indicate immediate liquidity problems.
A6,retained_earnings_assets,Retained Earnings / Total Assets,Retained Earnings / Assets,Profitability,retained earnings / total assets,Cumulative profitability. Part of Altman Z-Score.
A7,ebit_assets,EBIT / Total Assets,EBIT / Assets,Profitability,EBIT / total assets,Operating profitability. Key indicator of core business performance.
A8,equity_liabilities,Book Value of Equity / Total Liabilities,Equity / Liabilities,Leverage,book value of equity / total liabilities,Equity cushion. Higher values indicate stronger solvency.
A9,asset_turnover,Sales / Total Assets,Asset Turnover,Activity,sales / total assets,Asset turnover efficiency. Higher values indicate better asset utilization.
A10,equity_assets,Equity / Total Assets,Equity / Assets,Leverage,equity / total assets,Equity ratio. Complement of debt ratio.
A11,gross_profit_+_extras_assets,(Gross Profit + Extraordinary Items + Financial Expenses) / Total Assets,Gross Profit + Extras / Assets,Profitability,(gross profit + extraordinary items + financial expenses) / total assets,Adjusted profitability including non-operating items.
A12,gross_profit_st_liab,Gross Profit / Short-term Liabilities,Gross Profit / ST Liab.,Profitability,gross profit / short-term liabilities,Ability to cover short-term debt with profits.
A13,gross_margin_+_depr,(Gross Profit + Depreciation) / Sales,Gross Margin + Depr.,Profitability,(gross profit + depreciation) / sales,Gross margin adjusted for depreciation.
A14,gross_profit_+_interest_assets,(Gross Profit + Interest) / Total Assets,Gross Profit + Interest / Assets,Profitability,(gross profit + interest) / total assets,Profitability before interest expense.
A15,liabilities_coverage_days,(Total Liabilities * 365) / (Gross Profit + Depreciation),Liabilities Coverage (days),Leverage,(total liabilities * 365) / (gross profit + depreciation),Days to repay all debt with operating cash. Lower is better.
A16,gp_+_depr_liabilities,(Gross Profit + Depreciation) / Total Liabilities,GP + Depr. / Liabilities,Leverage,(gross profit + depreciation) / total liabilities,Operating cash generation relative to debt.
A17,asset_to_liability_ratio,Total Assets / Total Liabilities,Asset to Liability Ratio,Leverage,total assets / total liabilities,Asset coverage of liabilities. Values > 1 indicate positive equity.
A18,gross_profit_assets,Gross Profit / Total Assets,Gross Profit / Assets,Profitability,gross profit / total assets,Gross return on assets.
A19,gross_margin,Gross Profit / Sales,Gross Margin,Profitability,gross profit / sales,Gross profit margin. Key profitability indicator.
A20,inventory_days,(Inventory * 365) / Sales,Inventory Days,Activity,(inventory * 365) / sales,Days inventory outstanding. Lower indicates faster turnover.
A21,sales_growth,Sales (n) / Sales (n-1),Sales Growth,Activity,sales (n) / sales (n-1),Year-over-year sales growth ratio.
A22,operating_profit_assets,Profit on Operating Activities / Total Assets,Operating Profit / Assets,Profitability,profit on operating activities / total assets,Operating return on assets.
